id,order_id,payment_method,amount
1,1,credit_card,"1,000.00"
2,2,credit_card,"2,000.00"
3,3,coupon,100.00
4,4,coupon,"2,500.00"
5,5,bank_transfer,"1,700.00"
6,6,credit_card,600.00
7,7,credit_card,"1,600.00"
8,8,credit_card,"2,300.00"
9,9,gift_card,"2,300.00"
10,9,bank_transfer,0.00
11,10,bank_transfer,"2,600.00"
12,11,credit_card,"2,700.00"
13,12,credit_card,100.00
14,13,credit_card,500.00
15,13,bank_transfer,"1,400.00"
16,14,bank_transfer,300.00
17,15,coupon,"2,200.00"
18,16,credit_card,"1,000.00"
19,17,bank_transfer,200.00
20,18,credit_card,500.00
21,18,credit_card,800.00
22,19,gift_card,600.00
23,20,bank_transfer,"1,500.00"
24,21,credit_card,"1,200.00"
25,22,bank_transfer,800.00
26,23,gift_card,"2,300.00"
27,24,coupon,"2,600.00"
28,25,bank_transfer,"2,000.00"
29,25,credit_card,"2,200.00"
30,25,coupon,"1,600.00"
31,26,credit_card,"3,000.00"
32,27,credit_card,"2,300.00"
33,28,bank_transfer,"1,900.00"
34,29,bank_transfer,"1,200.00"
35,30,credit_card,"1,300.00"
36,31,credit_card,"1,200.00"
37,32,credit_card,300.00
38,33,credit_card,"2,200.00"
39,34,bank_transfer,"1,500.00"
40,35,credit_card,"2,900.00"
41,36,bank_transfer,900.00
42,37,credit_card,"2,300.00"
43,38,credit_card,"1,500.00"
44,39,bank_transfer,800.00
45,40,credit_card,"1,400.00"
46,41,credit_card,"1,700.00"
47,42,coupon,"1,700.00"
48,43,gift_card,"1,800.00"
49,44,gift_card,"1,100.00"
50,45,bank_transfer,500.00
51,46,bank_transfer,800.00
52,47,credit_card,"2,200.00"
53,48,bank_transfer,300.00
54,49,credit_card,600.00
55,49,credit_card,900.00
56,50,credit_card,"2,600.00"
57,51,credit_card,"2,900.00"
58,51,credit_card,100.00
59,52,bank_transfer,"1,500.00"
60,53,credit_card,300.00
61,54,credit_card,"1,800.00"
62,54,bank_transfer,"1,100.00"
63,55,credit_card,"2,900.00"
64,56,credit_card,400.00
65,57,bank_transfer,200.00
66,58,coupon,"1,800.00"
67,58,gift_card,600.00
68,59,gift_card,"2,800.00"
69,60,credit_card,400.00
70,61,bank_transfer,"1,600.00"
71,62,gift_card,"1,400.00"
72,63,credit_card,"2,900.00"
73,64,bank_transfer,"2,600.00"
74,65,credit_card,0.00
75,66,credit_card,"2,800.00"
76,67,bank_transfer,400.00
77,67,credit_card,"1,900.00"
78,68,credit_card,"1,600.00"
79,69,credit_card,"1,900.00"
80,70,credit_card,"2,600.00"
81,71,credit_card,500.00
82,72,credit_card,"2,900.00"
83,73,bank_transfer,300.00
84,74,credit_card,"3,000.00"
85,75,credit_card,"1,900.00"
86,76,coupon,200.00
87,77,credit_card,0.00
88,77,bank_transfer,"1,900.00"
89,78,bank_transfer,"2,600.00"
90,79,credit_card,"1,800.00"
91,79,credit_card,900.00
92,80,gift_card,300.00
93,81,coupon,200.00
94,82,credit_card,800.00
95,83,credit_card,100.00
96,84,bank_transfer,"2,500.00"
97,85,bank_transfer,"1,700.00"
98,86,coupon,"2,300.00"
99,87,gift_card,"3,000.00"
100,87,credit_card,"2,600.00"
101,88,credit_card,"2,900.00"
102,89,bank_transfer,"2,200.00"
103,90,bank_transfer,200.00
104,91,credit_card,"1,900.00"
105,92,bank_transfer,"1,500.00"
106,92,coupon,200.00
107,93,gift_card,"2,600.00"
108,94,coupon,700.00
109,95,coupon,"2,400.00"
110,96,gift_card,"1,700.00"
111,97,bank_transfer,"1,400.00"
112,98,bank_transfer,"1,000.00"
113,99,credit_card,"2,400.00"
